Position (mm),Cluster no.,Si,K,Ca,Ti,Cr,Br,Mn,Fe,Ni,Cu,Zn,Pb,Zr,Rb,PC1,PC2,PC3
52,1,-0.26527689,0.697490823,-0.333847196,0.625847744,-1.892625729,-2.714154076,-0.877744333,4.17310491,-1.274513734,0.302588797,-0.164066988,-1.545028003,0.755000633,0.206204936,-3.100916645,0.562796398,1.209070661
53,1,-0.455699589,0.666989529,-0.44401873,0.678394087,-1.740295484,-1.855134744,-1.051876445,4.226733787,-1.188798821,0.312860195,-0.135585713,-2.129308532,0.69464106,0.212330607,-3.208992091,0.640348105,0.059448509
54,1,-0.521298319,0.689708512,-0.15266897,0.588148312,-2.031275438,-1.664005927,-0.920898307,4.245223449,-1.228928965,0.457568225,-0.27464251,-2.479042925,0.980306889,0.13794731,-3.345528741,0.071128446,0.531888582
55,1,-0.542719719,0.781502213,-0.701510779,0.648875207,-2.005975122,-1.814174821,-0.517898066,4.231243982,-1.116321749,0.46357614,-0.315352297,-2.187154474,0.710421107,0.231690425,-3.225655125,-0.201818531,0.374488107
56,1,-0.663266184,0.709932962,-0.641012136,0.543235066,-1.724607078,-1.609537748,-1.04992196,4.175657732,-1.308360194,0.468544174,-0.288748559,-1.653989511,0.749057757,0.218395247,-2.633032651,0.256663274,-0.382284722
57,1,-0.513350168,0.774133269,-0.346606305,0.616576697,-2.128178929,-1.678653831,-0.953690605,4.283883396,-1.372818564,0.570821437,-0.108781519,-2.24258928,0.738260063,0.168986097,-3.019360785,0.010145702,0.512060942
58,1,-0.389024095,0.857871534,-0.563188785,0.789122694,-2.143190025,-2.076744926,-0.603290389,4.407279437,-0.968653893,0.639840178,-0.110632069,-3.189745952,0.660864078,0.374260173,-4.31294011,0.144402197,0.842552577
59,1,-0.494125054,0.673057542,-0.514612326,0.566600655,-1.971934523,-1.994407379,-1.278787343,4.233666466,-1.11988606,0.587873434,-0.110441716,-1.570179995,0.642618668,0.223436485,-2.860274864,0.305886397,0.236412332
60,1,-0.670620147,0.701643116,-0.510572421,0.730688325,-1.887413639,-2.102525019,-1.305017823,4.306025738,-1.33550799,0.660854764,-0.046693343,-1.67943831,0.610402159,0.368395389,-3.00675014,0.8523299,0.195194995
61,1,-0.897555731,0.638890904,-0.798359427,0.638089301,-2.186341552,-1.493194371,-0.723649371,4.281073854,-1.396656444,0.68928235,0.063526759,-1.694616099,0.549691821,0.254241296,-2.086426159,-0.123654992,0.116268448
62,1,-0.85605036,0.754992689,-0.568368287,0.791603745,-1.907595138,-2.089916694,-0.69846325,4.46215822,-1.246567506,0.833244886,0.125531622,-2.431921449,0.300426623,0.343696661,-3.007664409,1.177953483,0.570691527
